text,transliteration
A good cook could cook as many cookies as a good cook who could cook cookies.,ə ɡʊd kʊk kʊd kʊk æz mɛni kʊkiz æz ə ɡʊd kʊk hu kʊd kʊk kʊkiz.
How much dew does a dewdrop drop?,haw mʌt͡ʃ du dowz ə dudɹɑp dɹɑp?
Eleven owls licked eleven little licorice lollipops.,ɪlɛvən awlz lɪkt ɪlɛvən lɪtəl lɪkɹ̩ɪʃ lɑlipɑps.
"When a doctor doctors a doctor, does the doctor doing the doctoring doctor as the doctor being doctored wants to be doctored or does the doctor doing the doctoring doctor as he wants to doctor?","wɛn ə dɑktɹ̩ dɑktɹ̩z ə dɑktɹ̩, dowz ðə dɑktɹ̩ duɪŋ ðə dɑktɹ̩ɪŋ dɑktɹ̩ æz ðə dɑktɹ̩ biɪŋ dɑktɹ̩d wɑnts tə bi dɑktɹ̩d ɔɹ dowz ðə dɑktɹ̩ duɪŋ ðə dɑktɹ̩ɪŋ dɑktɹ̩ æz hi wɑnts tə dɑktɹ̩?"
King Thistle stuck a thousand thistles in the thistle of his thumb.,kɪŋ θɪsəl stʌk ə θawzənd θɪsəlz ɪn ðə θɪsəl ʌv hɪz θʌm.
She sells sea shells by the sea shore.,ʃi sɛlz si ʃɛlz baj ðə si ʃɔɹ.
Kitty caught the kitten in the kitchen.,kɪti kɑt ðə kɪtən ɪn ðə kɪt͡ʃən.
"Whether the weather is warm, whether the weather is hot, we have to put with the weather.","wɛðɹ̩ ðə wɛðɹ̩ ɪz wɔɹm, wɛðɹ̩ ðə wɛðɹ̩ ɪz hɑt, wi hæv tə pʊt wɪð ðə wɛðɹ̩."
A swan swam over the sea.,ə swɑn swæm owvɹ̩ ðə si.
"If two witches were watching two watches, which witch would watch which watch?","ɪf tu wɪt͡ʃəz wɹ̩ wɑt͡ʃɪŋ tu wɑt͡ʃəz, wɪt͡ʃ wɪt͡ʃ wʊd wɑt͡ʃ wɪt͡ʃ wɑt͡ʃ?"
"The big bug bit the little beetle, but the little beetle bit the big bug back.","ðə bɪɡ bʌɡ bɪt ðə lɪtəl bitəl, bʌt ðə lɪtəl bitəl bɪt ðə bɪɡ bʌɡ bæk."
"If you want to buy, buy, if you don't want to buy, bye bye!","ɪf ju wɑnt tə baj, baj, ɪf ju dɑnt wɑnt tə baj, baj baj!"
The blue bluebird blinks.,ðə blu blubɹ̩d blɪŋks.
A tricky frisky snake with sixty super scaly stripes.,ə tɹɪki fɹɪski snejk wɪð sɪksti supɹ̩ skɑli stɹajps.
"I can think of six thin things, but I can think of six thick things too.","aj kæn θɪŋk ʌv sɪks θɪn θɪŋz, bʌt aj kæn θɪŋk ʌv sɪks θɪk θɪŋz tu."
Give papa a cup of coffee in a copper coffee cup.,ɡɪv pɑpə ə kʌp ʌv kɑfi ɪn ə kɑpɹ̩ kɑfi kʌp.
We threw three free throws towards where the three trees grow.,wi θɹu θɹi fɹi θɹowz təwɔɹdz wɛɹ ðə θɹi tɹiz ɡɹow.
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,haw mʌt͡ʃ wʊd wʊd ə wʊdt͡ʃʌk t͡ʃʌk ɪf ə wʊdt͡ʃʌk kʊd t͡ʃʌk wʊd?
A big black bug hit a big black dog on his big black nose.,ə bɪɡ blæk bʌɡ hɪt ə bɪɡ blæk dɔɡ ɑn hɪz bɪɡ blæk nowz.
Red leather yellow leather.,ɹɛd lɛðɹ̩ jɛlow lɛðɹ̩.
"Quick kiss, quick kiss, quick kiss.","kwɪk kɪs, kwɪk kɪs, kwɪk kɪs."
Friendly fleas and fireflies fly away as the air flies.,fɹɛndli fliz ænd fajɹ̩əfliz flaj əwej æz ðə ɛɹ flajz.
My back black brake blocks are broken.,maj bæk blæk bɹejk blɑks ɑɹ bɹowkən.
I saw a kitten eating chicken in the kitchen.,aj sɔ ə kɪtən itɪŋ t͡ʃɪkən ɪn ðə kɪt͡ʃən.
I see he sees high seas she sees.,aj si hi siz haj siz ʃi siz.
Rather Ruth's writings than Roth's wrath.,ɹæðɹ̩ ɹʌθz ɹajtɪŋz ðæn ɹɔθz ɹæθ.
"The third time the three three-toed tree toads tried tying their toes together, the third three-toed tree toad tied the two three-toed tree toads toes to the third toads toes.","ðə θɹ̩d tajm ðə θɹi θɹi-towd tɹi towdz tɹajd tajɪŋ ðɛɹ towz təɡɛðɹ̩, ðə θɹ̩d θɹi-towd tɹi towd tajd ðə tu θɹi-towd tɹi towdz towz tə ðə θɹ̩d towdz towz."
What's a synonym for cinnamon?,wætz ə sɪnənɪm fɔɹ sɪnəmən?
"The theocratic thistle sifter, thrice thrust three thousand thistles through the slick thick of his softly throbbing thumb.","ðə θiəkɹætɪk θɪsəl sɪftɹ̩, θɹajs θɹʌst θɹi θawzənd θɪsəlz θɹu ðə slɪk θɪk ʌv hɪz sɔftli θɹɑbɪŋ θʌm."
"He thrusts his fists against the posts, and still insists he sees the ghosts.","hi θɹʌsts hɪz fɪsts əɡɛnst ðə powsts, ænd stɪl ɪnsɪsts hi siz ðə ɡowsts."
Grandma grabbed a gram of gummy goulash.,ɡɹæmɑ ɡɹæbd ə ɡɹæm ʌv ɡʌmi ɡulɑʃ.
"I thought the haughty professor taught ontology, but the naughty tortoise taught us tautology.","aj θɔt ðə hɔti pɹəfɛsɹ̩ tɔt ɑntɑləd͡ʒi, bʌt ðə nɔti tɔɹtəs tɔt ʌs tɔtɑləd͡ʒi."
"If a dog chews shoes, whose shoes does he choose?","ɪf ə dɔɡ t͡ʃuz ʃuz, huz ʃuz dowz hi t͡ʃuz?"
Wilson Winston winched whilst he minched a squinting prince.,wɪlsən wɪnstən wɪnkt wɪlst hi mɪnt͡ʃt ə skwɪntɪŋ pɹɪns.
Willy's wooden whistle wouldn't whistle when Willy went wild.,wɪlɪz wʊdən wɪsəl wʊdnt wɪsəl wɛn wɪli wɛnt wajld.
In shoulder surgery some surgeons sew soldier's shoulders.,ɪn ʃowldɹ̩ sɹ̩d͡ʒɹ̩i sʌm sɹ̩d͡ʒənz sow sowld͡ʒɹz ʃowldɹ̩z.
An illusory vision is a visionary illusion.,æn ɪlusɹ̩i vɪʒən ɪz ə vɪʒənɛɹi ɪluʒən.
How many rats would the ruskies roast if the ruskies could roast rats?,haw mɛni ɹæts wʊd ðə ɹʌskiz ɹowst ɪf ðə ɹʌskiz kʊd ɹowst ɹæts?
How many cats would a caddie catch if a caddie could catch cats?,haw mɛni kæts wʊd ə kædi kæt͡ʃ ɪf ə kædi kʊd kæt͡ʃ kæts?
